case_id,replicate_id,baseline_status,baseline_compile_success,baseline_generated_file_count,baseline_oracle_requirement_recall,baseline_oracle_semantic_score,control_status,control_compile_success,control_generated_file_count,control_oracle_requirement_recall,control_oracle_semantic_score,requirements_drop_status,requirements_drop_compile_success,requirements_drop_generated_file_count,requirements_drop_oracle_requirement_recall,requirements_drop_oracle_semantic_score,sml_rule_drop_status,sml_rule_drop_compile_success,sml_rule_drop_generated_file_count,sml_rule_drop_oracle_requirement_recall,sml_rule_drop_oracle_semantic_score,generated_tree_drop_status,generated_tree_drop_compile_success,generated_tree_drop_generated_file_count,generated_tree_drop_oracle_requirement_recall,generated_tree_drop_oracle_semantic_score,intended_evolution_status,intended_evolution_compile_success,intended_evolution_generated_file_count,intended_evolution_oracle_requirement_recall,intended_evolution_oracle_semantic_score
SSMB2-001,R00,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,0.75,0.8761904761904762,REJECTED,False,0,1.0,0.8261904761904761,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,1.0,0.9761904761904762
SSMB2-001,R01,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,0.75,0.8761904761904762,REJECTED,False,0,1.0,0.8261904761904761,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,1.0,0.9761904761904762
SSMB2-001,R02,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,0.75,0.8761904761904762,REJECTED,False,0,1.0,0.8261904761904761,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,1.0,0.9761904761904762
SSMB2-001,R03,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,0.75,0.8761904761904762,REJECTED,False,0,1.0,0.8261904761904761,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,1.0,0.9761904761904762
SSMB2-001,R04,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,0.75,0.8761904761904762,REJECTED,False,0,1.0,0.8261904761904761,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,1.0,0.9761904761904762
SSMB2-001,R05,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,0.75,0.8761904761904762,REJECTED,False,0,1.0,0.8261904761904761,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,1.0,0.9761904761904762
SSMB2-001,R06,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,0.75,0.8761904761904762,REJECTED,False,0,1.0,0.8261904761904761,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,1.0,0.9761904761904762
SSMB2-001,R07,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,0.75,0.8761904761904762,REJECTED,False,0,1.0,0.8261904761904761,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,1.0,0.9761904761904762
SSMB2-001,R08,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,0.75,0.8761904761904762,REJECTED,False,0,1.0,0.8261904761904761,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,1.0,0.9761904761904762
SSMB2-001,R09,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,0.75,0.8761904761904762,REJECTED,False,0,1.0,0.8261904761904761,REJECTED,False,0,1.0,0.9761904761904762,REJECTED,False,0,1.0,0.9761904761904762
SSMB2-002,R00,CONDITIONAL,True,76,1.0,0.9722222222222222,CONDITIONAL,True,76,1.0,0.9722222222222222,CONDITIONAL,True,76,0.75,0.8722222222222222,CONDITIONAL,False,76,1.0,0.8222222222222222,CONDITIONAL,False,76,1.0,0.9722222222222222,CONDITIONAL,True,77,1.0,0.9722222222222222
SSMB2-002,R01,CONDITIONAL,True,76,1.0,0.9722222222222222,CONDITIONAL,True,76,1.0,0.9722222222222222,CONDITIONAL,True,76,0.75,0.8722222222222222,CONDITIONAL,False,76,1.0,0.8222222222222222,CONDITIONAL,False,76,1.0,0.9722222222222222,CONDITIONAL,True,77,1.0,0.9722222222222222
SSMB2-002,R02,CONDITIONAL,True,76,1.0,0.9722222222222222,CONDITIONAL,True,76,1.0,0.9722222222222222,CONDITIONAL,True,76,0.75,0.8722222222222222,CONDITIONAL,False,76,1.0,0.8222222222222222,CONDITIONAL,False,76,1.0,0.9722222222222222,CONDITIONAL,True,77,1.0,0.9722222222222222
SSMB2-002,R03,CONDITIONAL,True,76,1.0,0.9722222222222222,CONDITIONAL,True,76,1.0,0.9722222222222222,CONDITIONAL,True,76,0.75,0.8722222222222222,CONDITIONAL,False,76,1.0,0.8222222222222222,CONDITIONAL,False,76,1.0,0.9722222222222222,CONDITIONAL,True,77,1.0,0.9722222222222222
SSMB2-002,R04,CONDITIONAL,True,76,1.0,0.9722222222222222,CONDITIONAL,True,76,1.0,0.9722222222222222,CONDITIONAL,True,76,0.75,0.8722222222222222,CONDITIONAL,False,76,1.0,0.8222222222222222,CONDITIONAL,False,76,1.0,0.9722222222222222,CONDITIONAL,True,77,1.0,0.9722222222222222
SSMB2-002,R05,CONDITIONAL,True,76,1.0,0.9722222222222222,CONDITIONAL,True,76,1.0,0.9722222222222222,CONDITIONAL,True,76,0.75,0.8722222222222222,CONDITIONAL,False,76,1.0,0.8222222222222222,CONDITIONAL,False,76,1.0,0.9722222222222222,CONDITIONAL,True,77,1.0,0.9722222222222222
SSMB2-002,R06,CONDITIONAL,True,76,1.0,0.9722222222222222,CONDITIONAL,True,76,1.0,0.9722222222222222,CONDITIONAL,True,76,0.75,0.8722222222222222,CONDITIONAL,False,76,1.0,0.8222222222222222,CONDITIONAL,False,76,1.0,0.9722222222222222,CONDITIONAL,True,77,1.0,0.9722222222222222
