case_id,provider_invoked,first_pass,repair_required,final_accepted,runtime_executed,runtime_failed
SSMB2-001,0,0,0,0,0,0
SSMB2-002,10,10,0,10,10,0
SSMB2-003,10,0,10,0,0,0
SSMB2-004,10,10,0,10,10,10
SSMB2-005,10,10,0,10,10,0
SSMB2-006,10,10,0,10,10,0
SSMB2-007,0,0,0,0,0,0
SSMB2-008,10,10,0,10,10,0
SSMB2-009,10,10,0,10,10,0
SSMB2-010,10,2,8,10,10,0
SSMB2-011,0,0,0,0,0,0
SSMB2-012,10,10,0,10,10,0
SSMB2-013,10,10,0,10,10,0
SSMB2-014,10,8,2,10,10,0
SSMB2-015,10,10,0,10,10,0
SSMB2-016,10,10,0,10,10,0
SSMB2-017,0,0,0,0,0,0
SSMB2-018,10,10,0,10,10,0
SSMB2-019,10,10,0,10,10,0
SSMB2-020,10,10,0,10,10,0
SSMB2-021,10,1,9,9,9,0
SSMB2-022,10,10,0,10,10,0
SSMB2-023,0,0,0,0,0,0
SSMB2-024,10,10,0,10,10,0
SSMB2-025,0,0,0,0,0,0
SSMB2-026,10,10,0,10,10,0
SSMB2-027,0,0,0,0,0,0
SSMB2-028,0,0,0,0,0,0
SSMB2-029,0,0,0,0,0,0
SSMB2-030,0,0,0,0,0,0
